shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
zach thomas,2017-18,Bucknell,Pat,sr,F,294,231,0.785714286,Bucknell,Bucknell,zathomas,Non-Power
david collins,2018-19,USF,Amer,so,G,292,206,0.705479452,South Florida,South Florida,dacollins,Non-Power
chris silva,2017-18,South Carolina,SEC,jr,F/C,283,213,0.752650177,South Carolina,South Carolina,chsilva,Power
tanner holden,2021-22,Wright State,Horz,jr,G,277,218,0.78700361,Wright St.,Wright State,taholden,Non-Power
jon elmore,2017-18,Marshall,CUSA,jr,G,274,227,0.828467153,Marshall,Marshall,joelmore,Non-Power
justin james,2018-19,Wyoming,MWC,sr,G,270,200,0.740740741,Wyoming,Wyoming,jujames,Non-Power
scotty pippen,2021-22,Vanderbilt,SEC,jr,G,269,198,0.73605948,Vanderbilt,Vanderbilt,scpippen,Power
james palmer,2018-19,Nebraska,B10,sr,G,266,204,0.766917293,Nebraska,Nebraska,japalmer,Power
jeremiah martin,2018-19,Memphis,Amer,sr,G,263,202,0.768060837,Memphis,Memphis,jemartin,Non-Power
trae young,2017-18,Oklahoma,B12,fr,G,263,227,0.863117871,Oklahoma,Oklahoma,tryoung,Power
ja morant,2018-19,Murray State,OVC,so,G,259,213,0.822393822,Murray St.,Murray State,jamorant,Non-Power
colbey ross,2018-19,Pepperdine,WCC,so,G,256,218,0.8515625,Pepperdine,Pepperdine,coross,Non-Power
grant williams,2018-19,Tennessee,SEC,jr,F,256,211,0.82421875,Tennessee,Tennessee,grwilliams,Power
jermaine marrow,2018-19,Hampton,BSth,jr,G,256,207,0.80859375,Hampton,Hampton,jemarrow,Non-Power
nick dixon,2017-18,UT Rio Grande,WAC,sr,G,256,203,0.79296875,UT Rio Grande Valley,UT Rio Grande Valley,nidixon,Non-Power
mason jones,2019-20,Arkansas,SEC,jr,G,254,207,0.81496063,Arkansas,Arkansas,majones,Power
chris clemons,2018-19,Campbell,BSth,sr,G,253,224,0.885375494,Campbell,Campbell,chclemons,Non-Power
jermaine marrow,2019-20,Hampton,BSth,sr,G,251,192,0.764940239,Hampton,Hampton,jemarrow,Non-Power
markus howard,2018-19,Marquette,BE,jr,G,251,224,0.892430279,Marquette,Marquette,mahoward,Power
jordan caroline,2017-18,Nevada,MWC,jr,F,247,176,0.712550607,Nevada,Nevada,jocaroline,Non-Power
joe chealey,2017-18,Charleston,CAA,sr,G,245,210,0.857142857,College of Charleston,Charleston,jochealey,Non-Power
deishuan booker,2018-19,Long Beach State,BW,sr,G,240,217,0.904166667,Long Beach St.,Long Beach State,debooker,Non-Power
markus howard,2019-20,Marquette,BE,sr,G,239,204,0.853556485,Marquette,Marquette,mahoward,Power
filip petrusev,2019-20,Gonzaga,WCC,so,F,238,156,0.655462185,Gonzaga,Gonzaga,fipetrusev,Non-Power
raiquan clark,2017-18,LIU,NEC,jr,G,238,178,0.74789916,LIU Brooklyn,Long Island University,raclark,Non-Power
garrison mathews,2017-18,Lipscomb,ASun,jr,G,237,189,0.797468354,Lipscomb,Lipscomb,gamathews,Non-Power
keenan evans,2017-18,Texas Tech,B12,sr,G,237,193,0.814345992,Texas Tech,Texas Tech,keevans,Power
reid travis,2017-18,Stanford,P12,jr,F,234,158,0.675213675,Stanford,Stanford,retravis,Power
yante maten,2017-18,Georgia,SEC,sr,F/C,233,185,0.793991416,Georgia,Georgia,yamaten,Power
kyle allman,2017-18,CSU Fullerton,BW,jr,G,231,173,0.748917749,Cal St. Fullerton,CS Fullerton,kyallman,Non-Power
larry austin,2018-19,Cent Michigan,MAC,sr,G,231,129,0.558441558,Central Michigan,Central Michigan,laaustin,Non-Power
collin sexton,2017-18,Alabama,SEC,fr,G,230,176,0.765217391,Alabama,Alabama,cosexton,Power
jayden gardner,2018-19,ECU,Amer,fr,F,228,172,0.754385965,East Carolina,East Carolina,jagardner,Non-Power
chris clemons,2017-18,Campbell,BSth,jr,G,227,195,0.859030837,Campbell,Campbell,chclemons,Non-Power
hunter maldonado,2021-22,Wyoming,MWC,sr,G,227,161,0.709251101,Wyoming,Wyoming,humaldonado,Non-Power
jose perez,2021-22,Manhattan,MAAC,sr,G,227,182,0.801762115,Manhattan,Manhattan,joperez,Non-Power
kj riley,2018-19,Evansville,MVC,jr,G,227,164,0.72246696,Evansville,Evansville,kjriley,Non-Power
cameron young,2018-19,Quinnipiac,MAAC,sr,G,226,173,0.765486726,Quinnipiac,Quinnipiac,cayoung,Non-Power
james palmer,2017-18,Nebraska,B10,jr,G,225,168,0.746666667,Nebraska,Nebraska,japalmer,Power
rj barrett,2018-19,Duke,ACC,fr,G,224,149,0.665178571,Duke,Duke,rjbarrett,Power
graham ike,2021-22,Wyoming,MWC,so,F,222,159,0.716216216,Wyoming,Wyoming,grike,Non-Power
zac cuthbertson,2018-19,C. Carolina,SB,sr,F,222,170,0.765765766,Coastal Carolina,Coastal Carolina,zacuthbertson,Non-Power
ej liddell,2021-22,Ohio State,B10,jr,F/C,221,169,0.764705882,Ohio St.,Ohio State,ejliddell,Power
john hugley,2021-22,Pitt,ACC,so,F/C,221,157,0.71040724,Pittsburgh,Pittsburgh,johugley,Power
cameron thomas,2020-21,LSU,SEC,fr,G,220,194,0.881818182,LSU,LSU,cathomas,Power
lamine diane,2018-19,CSU Northridge,BW,fr,F/C,220,120,0.545454545,Cal St. Northridge,CSU Northridge,ladiane,Non-Power
deshon taylor,2017-18,Fresno State,MWC,jr,G,219,180,0.821917808,Fresno St.,Fresno State,detaylor,Non-Power
jalen moore,2020-21,Oakland,Horz,jr,G,219,170,0.776255708,Oakland,Oakland,jamoore,Non-Power
terrell brown,2021-22,Washington,P12,sr,G,219,169,0.771689498,Washington,Washington,tebrown,Power
tookie brown,2017-18,Ga Southern,SB,jr,G,219,168,0.767123288,Georgia Southern,Georgia Southern,tobrown,Non-Power
armando bacot,2021-22,UNC,ACC,jr,F,218,146,0.669724771,North Carolina,North Carolina,arbacot,Power
cameron young,2017-18,Quinnipiac,MAAC,sr,G,218,167,0.766055046,Quinnipiac,Quinnipiac,cayoung,Non-Power
trayce jackson-davis,2021-22,Indiana,B10,so,F,218,147,0.674311927,Indiana,Indiana,trjackson,Power
vernon carey,2019-20,Duke,ACC,fr,F/C,218,146,0.669724771,Duke,Duke,vecarey,Power
justin johnson,2021-22,UT Rio Grande,WAC,jr,G,217,149,0.686635945,UT Rio Grande Valley,UT Rio Grande Valley,jujohnson,Non-Power
kofi cockburn,2020-21,Illinois,B10,so,C,217,120,0.552995392,Illinois,Illinois,kocockburn,Power
benjamin stanley,2019-20,Hampton,BSth,so,F,216,140,0.648148148,Hampton,Hampton,bestanley,Non-Power
carsen edwards,2018-19,Purdue,B10,jr,G,216,181,0.837962963,Purdue,Purdue,caedwards,Power
gavin kensmil,2021-22,SF Austin,WAC,sr,F,216,133,0.615740741,Stephen F. Austin,Stephen F. Austin,gakensmil,Non-Power
joel hernandez,2017-18,LIU,NEC,sr,G,215,142,0.660465116,LIU Brooklyn,Long Island University,johernandez,Non-Power
jordan davis,2018-19,N Colorado,BSky,sr,G,215,174,0.809302326,Northern Colorado,Northern Colorado,jodavis,Non-Power
alpha diallo,2018-19,Providence,BE,jr,F,213,148,0.694835681,Providence,Providence,aldiallo,Power
chris silva,2018-19,South Carolina,SEC,sr,F/C,212,160,0.754716981,South Carolina,South Carolina,chsilva,Power
grant williams,2017-18,Tennessee,SEC,so,F/C,212,162,0.764150943,Tennessee,Tennessee,grwilliams,Power
trayce jackson-davis,2020-21,Indiana,B10,so,F,212,140,0.660377358,Indiana,Indiana,trjackson,Power
anthony cowan,2019-20,Maryland,B10,sr,G,211,172,0.815165877,Maryland,Maryland,ancowan,Power
sandy cohen,2018-19,Green Bay,Horz,sr,G,210,163,0.776190476,Green Bay,Green Bay,sacohen,Non-Power
marvin bagley,2017-18,Duke,ACC,fr,F/C,209,131,0.626794258,Duke,Duke,mabagley,Power
mike daum,2018-19,South Dakota St,Sum,sr,F/C,209,174,0.832535885,South Dakota St.,South Dakota State,midaum,Non-Power
rui hachimura,2018-19,Gonzaga,WCC,jr,F,209,156,0.746411483,Gonzaga,Gonzaga,ruhachimura,Non-Power
isaiah pineiro,2018-19,San Diego,WCC,sr,F/C,208,171,0.822115385,San Diego,San Diego,ispineiro,Non-Power
roddy peters,2017-18,Nicholls,Slnd,sr,G,208,160,0.769230769,Nicholls St.,Nicholls,ropeters,Non-Power
tyler burton,2021-22,Richmond,A10,jr,F,208,164,0.788461538,Richmond,Richmond,tyburton,Non-Power
brian beard,2018-19,FIU,CUSA,sr,G,207,147,0.710144928,FIU,Florida International,brbeard,Non-Power
brian parker,2017-18,Marist,MAAC,jr,G,207,145,0.700483092,Marist,Marist,brparker,Non-Power
jaden ivey,2021-22,Purdue,B10,so,G,207,154,0.743961353,Purdue,Purdue,jaivey,Power
jordan howard,2017-18,Cent Arkansas,Slnd,sr,G,207,184,0.888888889,Central Arkansas,Central Arkansas,johoward,Non-Power
reed timmer,2017-18,Drake,MVC,sr,G,207,179,0.8647343,Drake,Drake,retimmer,Non-Power
douglas wilson,2021-22,South Dakota St,Sum,sr,F,206,141,0.684466019,South Dakota St.,South Dakota State,dowilson,Non-Power
dedric lawson,2018-19,Kansas,B12,jr,F/C,205,167,0.814634146,Kansas,Kansas,delawson,Power
dereon seabron,2021-22,NC State,ACC,so,G,205,145,0.707317073,North Carolina St.,NC State,deseabron,Power
grant riller,2019-20,Charleston,CAA,sr,G,205,170,0.829268293,College of Charleston,Charleston,grriller,Non-Power
jarrett culver,2018-19,Texas Tech,B12,so,G,205,145,0.707317073,Texas Tech,Texas Tech,jaculver,Power
david collins,2019-20,USF,Amer,jr,G,204,134,0.656862745,South Florida,South Florida,dacollins,Non-Power
jon elmore,2018-19,Marshall,CUSA,sr,G,204,161,0.789215686,Marshall,Marshall,joelmore,Non-Power
jordan murphy,2018-19,Minnesota,B10,sr,F/C,204,139,0.681372549,Minnesota,Minnesota,jomurphy,Power
jubrile belo,2021-22,Montana State,BSky,jr,F,204,146,0.715686275,Montana St.,Montana State,jubelo,Non-Power
nick mayo,2018-19,E Kentucky,OVC,sr,F,204,176,0.862745098,Eastern Kentucky,Eastern Kentucky,nimayo,Non-Power
xavier johnson,2018-19,Pitt,ACC,fr,G,204,153,0.75,Pittsburgh,Pittsburgh,xajohnson,Power
jordan davis,2017-18,N Colorado,BSky,jr,G,203,129,0.63546798,Northern Colorado,Northern Colorado,jodavis,Non-Power
josh sharkey,2018-19,Samford,SC,jr,G,203,152,0.748768473,Samford,Samford,josharkey,Non-Power
kofi cockburn,2021-22,Illinois,B10,jr,C,203,133,0.655172414,Illinois,Illinois,kocockburn,Power
saeed nelson,2018-19,American,Pat,jr,G,203,148,0.729064039,American,American,sanelson,Non-Power
zion williamson,2018-19,Duke,ACC,fr,F,203,130,0.640394089,Duke,Duke,ziwilliamson,Power
chandler hutchison,2017-18,Boise State,MWC,sr,G,202,147,0.727722772,Boise St.,Boise State,chhutchison,Non-Power
colbey ross,2019-20,Pepperdine,WCC,jr,G,202,172,0.851485149,Pepperdine,Pepperdine,coross,Non-Power
demajeo wiggins,2018-19,Bowling Green,MAC,sr,F,202,130,0.643564356,Bowling Green,Bowling Green,dewiggins,Non-Power
devonte graham,2017-18,Kansas,B12,sr,G,202,167,0.826732673,Kansas,Kansas,degraham,Power
jared harper,2017-18,Auburn,SEC,so,G,202,166,0.821782178,Auburn,Auburn,jaharper,Power
mike daum,2017-18,South Dakota St,Sum,jr,F/C,202,172,0.851485149,South Dakota St.,South Dakota State,midaum,Non-Power
rj cole,2018-19,Howard,MEAC,so,G,202,167,0.826732673,Howard,Howard,rjcole,Non-Power
jalen moore,2021-22,Oakland,Horz,jr,G,201,158,0.786069652,Oakland,Oakland,jamoore,Non-Power
noah dickerson,2018-19,Washington,P12,sr,F,201,135,0.671641791,Washington,Washington,nodickerson,Power
sam merrill,2018-19,Utah State,MWC,jr,G,201,183,0.910447761,Utah St.,Utah State,samerrill,Non-Power
luguentz dort,2018-19,Arizona State,P12,fr,G,200,142,0.71,Arizona St.,Arizona State,ludort,Power
myles powell,2018-19,Seton Hall,BE,jr,G,200,168,0.84,Seton Hall,Seton Hall,mypowell,Power
oshae brissett,2017-18,Syracuse,ACC,fr,F,200,158,0.79,Syracuse,Syracuse,osbrissett,Power
al durham,2021-22,Providence,BE,sr,G,199,166,0.834170854,Providence,Providence,aldurham,Power
javon bess,2017-18,Saint Louis,A10,jr,F,199,153,0.768844221,Saint Louis,Saint Louis,jabess,Non-Power
justin james,2017-18,Wyoming,MWC,jr,G,199,144,0.72361809,Wyoming,Wyoming,jujames,Non-Power
obadiah noel,2019-20,UMass Lowell,AE,jr,G,199,135,0.67839196,UMass Lowell,UMass Lowell,obnoel,Non-Power
raiquan clark,2018-19,LIU,NEC,sr,G,199,139,0.698492462,LIU Brooklyn,Long Island University,raclark,Non-Power
don coleman,2017-18,Cal,P12,jr,G,198,148,0.747474747,California,California,docoleman,Power
james batemon,2018-19,Loyola Mary,WCC,sr,G,198,163,0.823232323,Loyola Marymount,Loyola Marymount,jabatemon,Non-Power
josh sharkey,2019-20,Samford,SC,sr,G,198,152,0.767676768,Samford,Samford,josharkey,Non-Power
nathan knight,2018-19,William & Mary,CAA,jr,F/C,198,141,0.712121212,William & Mary,William & Mary,naknight,Non-Power
david efianayi,2018-19,Gardner-Webb,BSth,sr,G,197,149,0.756345178,Gardner Webb,Gardner-Webb,daefianayi,Non-Power
isaac mushila,2021-22,Texas A&M-CC,Slnd,jr,F,197,154,0.781725888,Texas A&M Corpus Chris,Texas A&M-CC,ismushila,Non-Power
jordan murphy,2017-18,Minnesota,B10,jr,F/C,197,142,0.720812183,Minnesota,Minnesota,jomurphy,Power
rob gray,2017-18,Houston,Amer,sr,G,197,158,0.802030457,Houston,Houston,rogray,Non-Power
saben lee,2018-19,Vanderbilt,SEC,so,G,197,134,0.680203046,Vanderbilt,Vanderbilt,salee,Power
aaron holiday,2017-18,UCLA,P12,jr,G,196,163,0.831632653,UCLA,UCLA,aaholiday,Power
dmarcus simonds,2017-18,Georgia State,SB,so,G,196,142,0.724489796,Georgia St.,Georgia St,dmsimonds,Non-Power
jahlil tripp,2019-20,Pacific,WCC,sr,F,196,143,0.729591837,Pacific,Pacific,jatripp,Non-Power
noah dickerson,2017-18,Washington,P12,jr,F/C,196,155,0.790816327,Washington,Washington,nodickerson,Power
rayjon tucker,2018-19,Little Rock,SB,jr,G,196,154,0.785714286,Little Rock,Arkansas-Little Rock,ratucker,Non-Power
seneca knight,2019-20,San Jose State,MWC,so,G,196,151,0.770408163,San Jose St.,San José State,seknight,Non-Power
abu kigab,2021-22,Boise State,MWC,sr,G,195,132,0.676923077,Boise St.,Boise State,abkigab,Non-Power
aj hicks,2018-19,Morehead State,OVC,sr,G,195,126,0.646153846,Morehead St.,Morehead State,ajhicks,Non-Power
bryce mcgowens,2021-22,Nebraska,B10,fr,G,195,162,0.830769231,Nebraska,Nebraska,brmcgowens,Power
daniel akin,2021-22,Cal Baptist,WAC,sr,F,195,134,0.687179487,Cal Baptist,Cal Baptist,daakin,Non-Power
fardaws aimaq,2021-22,Utah Valley,WAC,jr,F/C,195,141,0.723076923,Utah Valley,Utah Valley,faaimaq,Non-Power
luka garza,2019-20,Iowa,B10,jr,F/C,195,127,0.651282051,Iowa,Iowa,lugarza,Power
luka garza,2020-21,Iowa,B10,sr,F/C,195,137,0.702564103,Iowa,Iowa,lugarza,Power
troy harper,2018-19,Drexel,CAA,sr,G,195,151,0.774358974,Drexel,Drexel,trharper,Non-Power
cassius winston,2018-19,Michigan State,B10,jr,G,194,163,0.840206186,Michigan St.,Michigan State,cawinston,Power
koby mcewen,2021-22,Weber State,BSky,sr,G,194,164,0.845360825,Weber St.,Weber State,komcewen,Non-Power
lamar stevens,2018-19,Penn State,B10,jr,F,194,148,0.762886598,Penn St.,Penn State,lastevens,Power
marcus carr,2020-21,Minnesota,B10,jr,G,194,155,0.798969072,Minnesota,Minnesota,macarr,Power
mark sears,2021-22,Ohio,MAC,so,G,194,176,0.907216495,Ohio,Ohio,masears,Non-Power
milik yarbrough,2017-18,Illinois State,MVC,jr,G,194,156,0.804123711,Illinois St.,Illinois State,miyarbrough,Non-Power
reggie perry,2019-20,Miss St,SEC,so,F/C,194,149,0.768041237,Mississippi St.,Mississippi State,reperry,Power
thomas wilder,2017-18,W Michigan,MAC,sr,G,194,161,0.829896907,Western Michigan,Western Michigan,thwilder,Non-Power
evan mobley,2020-21,USC,P12,fr,F,193,134,0.694300518,USC,USC,evmobley,Power
gabe levin,2017-18,Long Beach State,BW,sr,F,193,158,0.81865285,Long Beach St.,Long Beach State,galevin,Non-Power
pj washington,2017-18,Kentucky,SEC,fr,F,193,120,0.621761658,Kentucky,Kentucky,pjwashington,Power
saben lee,2019-20,Vanderbilt,SEC,jr,G,193,144,0.74611399,Vanderbilt,Vanderbilt,salee,Power
trevon bluiett,2017-18,Xavier,BE,sr,G,193,164,0.849740933,Xavier,Xavier,trbluiett,Power
brandon mccoy,2017-18,UNLV,MWC,fr,F,192,140,0.729166667,UNLV,UNLV,brmccoy,Non-Power
dmarcus simonds,2018-19,Georgia State,SB,jr,G,192,126,0.65625,Georgia St.,Georgia St,dmsimonds,Non-Power
keon clergeot,2020-21,SE Louisiana,Slnd,sr,G,192,154,0.802083333,Southeastern Louisiana,SE Louisiana,keclergeot,Non-Power
lamar stevens,2019-20,Penn State,B10,sr,F,192,138,0.71875,Penn St.,Penn State,lastevens,Power
nicolas claxton,2018-19,Georgia,SEC,so,F/C,192,123,0.640625,Georgia,Georgia,niclaxton,Power
deandre ayton,2017-18,Arizona,P12,fr,F,191,140,0.732984293,Arizona,Arizona,deayton,Power
jordan caroline,2018-19,Nevada,MWC,sr,F,191,124,0.64921466,Nevada,Nevada,jocaroline,Non-Power
kendric davis,2021-22,SMU,Amer,sr,G,191,164,0.858638743,SMU,SMU,kedavis,Non-Power
samir doughty,2019-20,Auburn,SEC,sr,G,191,147,0.769633508,Auburn,Auburn,sadoughty,Power
sukhmail mathon,2021-22,Boston U,Pat,sr,F,191,149,0.780104712,Boston University,Boston University,sumathon,Non-Power
bryson scott,2017-18,Fort Wayne,Sum,sr,G,190,155,0.815789474,Fort Wayne,Purdue Fort Wayne,brscott,Non-Power
eli scott,2019-20,Loyola Mary,WCC,jr,G,190,123,0.647368421,Loyola Marymount,Loyola Marymount,elscott,Non-Power
keegan murray,2021-22,Iowa,B10,so,F,190,142,0.747368421,Iowa,Iowa,kemurray,Power
shavar newkirk,2017-18,Saint Joe's,A10,sr,G,190,143,0.752631579,Saint Joseph's,Saint Joseph's,shnewkirk,Non-Power
zeke nnaji,2019-20,Arizona,P12,fr,F/C,190,144,0.757894737,Arizona,Arizona,zennaji,Power
andrew kostecka,2018-19,Loyola (MD),Pat,jr,G,189,154,0.814814815,Loyola MD,Loyola (MD),ankostecka,Non-Power
justin wright-foreman,2018-19,Hofstra,CAA,sr,G,189,165,0.873015873,Hofstra,Hofstra,juwright,Non-Power
nathan knight,2017-18,William & Mary,CAA,so,F/C,189,147,0.777777778,William & Mary,William & Mary,naknight,Non-Power
treshaun fletcher,2017-18,Toledo,MAC,sr,F,189,134,0.708994709,Toledo,Toledo,trfletcher,Non-Power
daishon smith,2018-19,UL Monroe,SB,sr,G,188,163,0.867021277,Louisiana Monroe,Ul Monroe,dasmith,Non-Power
devontae cacok,2017-18,UNC Wilmington,CAA,jr,F/C,188,115,0.611702128,UNC Wilmington,UNC Wilmington,decacok,Non-Power
isaiah stewart,2019-20,Washington,P12,fr,F,188,144,0.765957447,Washington,Washington,isstewart,Power
matt scott,2017-18,Niagara,MAAC,sr,G,188,134,0.712765957,Niagara,Niagara,mascott,Non-Power
paolo banchero,2021-22,Duke,ACC,fr,F,188,137,0.728723404,Duke,Duke,pabanchero,Power
trae bell-haynes,2017-18,Vermont,AE,sr,G,188,137,0.728723404,Vermont,Vermont,trbell,Non-Power
jared sam,2017-18,Southern,SWAC,sr,F,187,144,0.770053476,Southern,Southern,jasam,Non-Power
jaylen sims,2021-22,UNC Wilmington,CAA,sr,G,187,151,0.807486631,UNC Wilmington,UNC Wilmington,jasims,Non-Power
kane williams,2019-20,Georgia State,SB,jr,G,187,146,0.780748663,Georgia St.,Georgia St,kawilliams,Non-Power
russell dean,2021-22,Hampton,BSth,so,G,187,136,0.727272727,Hampton,Hampton,rudean,Non-Power
trey porter,2017-18,Old Dominion,CUSA,jr,F/C,187,127,0.679144385,Old Dominion,Old Dominion,trporter,Non-Power
tyler cook,2018-19,Iowa,B10,jr,F,187,120,0.64171123,Iowa,Iowa,tycook,Power
brian beard,2017-18,FIU,CUSA,jr,G,186,121,0.650537634,FIU,Florida International,brbeard,Non-Power
denzel mahoney,2017-18,SE Missouri St,OVC,so,G,186,155,0.833333333,Southeast Missouri St.,Southeast Missouri State,demahoney,Non-Power
derek culver,2020-21,West Virginia,B12,jr,F,186,116,0.623655914,West Virginia,West Virginia,deculver,Power
kyle allman,2018-19,CSU Fullerton,BW,sr,G,186,140,0.752688172,Cal St. Fullerton,CS Fullerton,kyallman,Non-Power
precious achiuwa,2019-20,Memphis,Amer,fr,F/C,186,112,0.602150538,Memphis,Memphis,prachiuwa,Non-Power
taevion kinsey,2021-22,Marshall,CUSA,sr,G,186,138,0.741935484,Marshall,Marshall,takinsey,Non-Power
tari eason,2021-22,LSU,SEC,so,F,186,149,0.801075269,LSU,LSU,taeason,Power
tj haws,2018-19,BYU,WCC,jr,G,186,161,0.865591398,BYU,BYU,tjhaws,Non-Power
tyler cook,2017-18,Iowa,B10,so,F,186,121,0.650537634,Iowa,Iowa,tycook,Power
allonzo trier,2017-18,Arizona,P12,jr,G,185,160,0.864864865,Arizona,Arizona,altrier,Power
carlik jones,2019-20,Radford,BSth,jr,G,185,150,0.810810811,Radford,Radford,cajones,Non-Power
david azore,2021-22,UT Arlington,SB,sr,G,185,156,0.843243243,UT Arlington,UT Arlington,daazore,Non-Power
eli pemberton,2018-19,Hofstra,CAA,jr,G,185,142,0.767567568,Hofstra,Hofstra,elpemberton,Non-Power
garrison brooks,2019-20,UNC,ACC,jr,F/C,185,119,0.643243243,North Carolina,North Carolina,gabrooks,Power
jeremiah martin,2017-18,Memphis,Amer,jr,G,185,145,0.783783784,Memphis,Memphis,jemartin,Non-Power
jon axel gudmundsson,2018-19,Davidson,A10,jr,G,185,151,0.816216216,Davidson,Davidson,joaxel,Non-Power
josh ajayi,2018-19,South Alabama,SB,jr,F,185,130,0.702702703,South Alabama,South Alabama,joajayi,Non-Power
tevin brown,2019-20,Murray State,OVC,so,G,185,137,0.740540541,Murray St.,Murray State,tebrown,Non-Power
caleb martin,2018-19,Nevada,MWC,sr,G,184,136,0.739130435,Nevada,Nevada,camartin,Non-Power
cyril langevine,2018-19,URI,A10,jr,F,184,112,0.608695652,Rhode Island,Rhode Island,cylangevine,Non-Power
drew timme,2020-21,Gonzaga,WCC,so,F/C,184,128,0.695652174,Gonzaga,Gonzaga,drtimme,Non-Power
james batemon,2017-18,Loyola Mary,WCC,jr,G,184,148,0.804347826,Loyola Marymount,Loyola Marymount,jabatemon,Non-Power
jayden gardner,2019-20,ECU,Amer,so,F,184,138,0.75,East Carolina,East Carolina,jagardner,Non-Power
markis mcduffie,2018-19,Wichita State,Amer,sr,F,184,153,0.831521739,Wichita St.,Wichita State,mamcduffie,Non-Power
nana foulland,2017-18,Bucknell,Pat,sr,C,184,104,0.565217391,Bucknell,Bucknell,nafoulland,Non-Power
payton sparks,2021-22,Ball State,MAC,fr,C,184,129,0.701086957,Ball St.,Ball State,pasparks,Non-Power
roosevelt smart,2017-18,North Texas,CUSA,so,G,184,163,0.885869565,North Texas,North Texas,rosmart,Non-Power
tyus battle,2017-18,Syracuse,ACC,so,G,184,157,0.85326087,Syracuse,Syracuse,tybattle,Power
cj massinburg,2018-19,Buffalo,MAC,sr,G,183,143,0.781420765,Buffalo,Buffalo,cjmassinburg,Non-Power
isaac haas,2017-18,Purdue,B10,sr,C,183,139,0.759562842,Purdue,Purdue,ishaas,Power
jon davis,2018-19,Charlotte,CUSA,sr,G,183,156,0.852459016,Charlotte,Charlotte,jodavis,Non-Power
kerry blackshear,2019-20,Florida,SEC,sr,F/C,183,145,0.792349727,Florida,Florida,keblackshear,Power
orlando robinson,2021-22,Fresno State,MWC,jr,F/C,183,132,0.721311475,Fresno St.,Fresno State,orrobinson,Non-Power
rodrick sikes,2017-18,South Alabama,SB,jr,G,183,142,0.775956284,South Alabama,South Alabama,rosikes,Non-Power
ethan thompson,2020-21,Oregon State,P12,sr,G,182,148,0.813186813,Oregon St.,Oregon State,etthompson,Power
gary blackston,2017-18,PV A&M,SWAC,jr,G,182,139,0.763736264,Prairie View A&M,Prairie View A&M,gablackston,Non-Power
jordan johnson,2017-18,UNLV,MWC,sr,G,182,153,0.840659341,UNLV,UNLV,jojohnson,Non-Power
tra holder,2017-18,Arizona State,P12,sr,G,182,153,0.840659341,Arizona St.,Arizona State,trholder,Power
cameron holden,2021-22,Towson,CAA,sr,G,181,128,0.70718232,Towson,Towson,caholden,Non-Power
eric paschall,2018-19,Villanova,BE,sr,F,181,135,0.745856354,Villanova,Villanova,erpaschall,Power
iverson molinar,2021-22,Miss St,SEC,jr,G,181,157,0.867403315,Mississippi St.,Mississippi State,ivmolinar,Power
jaylen adams,2017-18,St Bonaventure,A10,sr,G,181,154,0.850828729,St. Bonaventure,St. Bonaventure,jaadams,Non-Power
khalil ahmad,2018-19,CSU Fullerton,BW,sr,G,181,147,0.812154696,Cal St. Fullerton,CS Fullerton,khahmad,Non-Power
miles reynolds,2017-18,Pacific,WCC,jr,G,181,146,0.806629834,Pacific,Pacific,mireynolds,Non-Power
nico carvacho,2019-20,Colorado State,MWC,sr,C,181,90,0.497237569,Colorado St.,Colorado State,nicarvacho,Non-Power
scotty pippen,2019-20,Vanderbilt,SEC,fr,G,181,129,0.712707182,Vanderbilt,Vanderbilt,scpippen,Power
tanner leissner,2017-18,UNH,AE,sr,F,181,142,0.784530387,New Hampshire,New Hampshire,taleissner,Non-Power
amir coffey,2018-19,Minnesota,B10,jr,F,180,131,0.727777778,Minnesota,Minnesota,amcoffey,Power
ej anosike,2019-20,Sacred Heart,NEC,jr,F/C,180,130,0.722222222,Sacred Heart,Sacred Heart,ejanosike,Non-Power
ethan happ,2017-18,Wisconsin,B10,jr,F/C,180,99,0.55,Wisconsin,Wisconsin,ethapp,Power
hayden brown,2021-22,The Citadel,SC,sr,F,180,114,0.633333333,The Citadel,The Citadel,habrown,Non-Power
jahad thomas,2017-18,UMass Lowell,AE,sr,G,180,127,0.705555556,UMass Lowell,UMass Lowell,jathomas,Non-Power
mikey dixon,2021-22,Idaho,BSky,sr,G,180,157,0.872222222,Idaho,Idaho,midixon,Non-Power
olivier sarr,2019-20,Wake Forest,ACC,jr,C,180,137,0.761111111,Wake Forest,Wake Forest,olsarr,Power
tamenang choh,2018-19,Brown,Ivy,so,F,180,118,0.655555556,Brown,Brown,tachoh,Non-Power
drew mcdonald,2018-19,N Kentucky,Horz,sr,F,179,145,0.810055866,Northern Kentucky,Northern Kentucky,drmcdonald,Non-Power
eral penn,2021-22,LIU,NEC,sr,F,179,127,0.709497207,LIU Brooklyn,Long Island University,erpenn,Non-Power
jarron cumberland,2018-19,Cincinnati,Amer,jr,G,179,142,0.793296089,Cincinnati,Cincinnati,jacumberland,Non-Power
kerry blackshear,2018-19,Virginia Tech,ACC,jr,F/C,179,131,0.731843575,Virginia Tech,Virginia Tech,keblackshear,Power
kevon harris,2019-20,SF Austin,Slnd,sr,G,179,138,0.770949721,Stephen F. Austin,Stephen F. Austin,keharris,Non-Power
