rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
21,Arkansas,SEC,28-9,108.70271542562013,60,90.68230284979651,12,0.8893803626032089,21,28,9,13,5,13-5,0.6991665513576842,0.5002061465625813,0.7868701025240609,0.6991665513576842,0.5002061465625813,0.7868701025240609,0.7035486131928154,0.8750838203265621,107.29903390075894,97.82903354403525,107.29903390075894,97.82903354403525,109.82651458553677,89.0624246356419,112.14415473532917,95.71185407188051,0.8608172355447806,16,0.07193360066674093,1341.0,1208.0,1297.1875,1.0337749939773548,0.9312454830161407,0,0.7222222222222222,4.468677600757191,17,39,70.6274656632884
22,LSU,SEC,22-12,106.3115222088378,96,89.64716857028108,8,0.876604215624954,22,22,12,9,9,9-9,0.689182800017336,0.5129897530957074,0.805694579237612,0.689182800017336,0.5129897530957074,0.805694579237612,0.6975502710183011,0.8493379881731856,106.64403585816679,97.6765196181676,106.64403585816679,97.6765196181676,106.29175263051035,90.625678129031,116.22189787498817,98.77378464100492,0.8665385601600522,17,-0.012005467376643209,1247.0,1224.0,1262.3125,0.9878694855671635,0.9696489577660049,0,0.5,2.2851331250874756,32,201,68.67611496983908
23,San Francisco,WCC,24-10,110.1730968981338,44,93.03627771190861,27,0.8748158141902024,23,24,10,10,6,10-6,0.6075597284084592,0.5521767104366045,0.6137139320601214,0.6075597284084592,0.5521767104366045,0.6137139320601214,0.762982261859891,0.8339528974114238,105.52678289542631,99.06823922383488,105.52678289542631,99.06823922383488,111.72672262200479,93.33103036115632,128.17497341693547,112.48964252179184,0.8177465776678572,8,-0.022065995948873374,1258.0,1106.0,1149.925,1.093984390286323,0.9618018566428246,0,0.625,1.6340126091458764,42,220,68.95297599936178
24,Michigan,B10,19-15,113.89407558006968,19,96.2297167955866,62,0.8741435178302186,24,19,15,11,9,11-9,0.7682827944945534,0.6441308522442966,0.8058775224766004,0.7682827944945534,0.6441308522442966,0.8058775224766004,0.6426490607110285,0.7469716820738269,109.8373349015584,96.88215197025072,109.8373349015584,96.88215197025072,115.96889562675126,98.98612775945102,119.02494523433135,101.6396256860084,0.8600668874614215,18,-0.03503896731695444,1483.0,1440.0,1341.1374999999998,1.1057777446384134,1.0737154094938066,0,0.55,0.16411343409284007,56,253,66.42724248643154
25,Connecticut,BE,23-10,113.1978796449921,22,95.88369226700944,52,0.8709087220367722,25,23,10,13,6,13-6,0.660146279584926,0.4553578469067745,0.7517588288835132,0.660146279584926,0.4553578469067745,0.7517588288835132,0.728392361169825,0.8161816682666722,104.9768136005221,97.97534109000095,104.9768136005221,97.97534109000095,113.67133684789353,96.27496056448994,117.31774191650746,100.78254139320573,0.8515853709462718,11,0.016608306154180075,1384.0,1287.0,1276.4624999999999,1.084246501561934,1.0082552366403243,0,0.6842105263157895,3.081250545770565,26,136,65.03382646776048
26,TCU,B12,21-13,108.60331462466615,63,92.06954322311196,18,0.869813855438103,26,21,13,8,10,8-10,0.7252903620868087,0.4375710781705582,0.8778733123777376,0.7252903620868087,0.4375710781705582,0.8778733123777376,0.6327583212772525,0.8776026814816764,107.57547042269412,96.00252977116791,107.57547042269412,96.00252977116791,108.80111916313429,92.28045127928988,116.9975700090492,97.50589377687231,0.890490771287127,19,0.03622818034969577,1160.0,1198.0,1198.7375,0.9676847516658151,0.9993847693927987,0,0.4444444444444444,2.9243533833492643,27,93,65.89395415268106
27,San Diego St.,MWC,23-9,102.35095116765883,173,86.91917002065156,2,0.8675460419355517,27,23,9,13,4,13-4,0.6509864287663545,0.5759837930001536,0.6603168396564566,0.6509864287663545,0.5759837930001536,0.6603168396564566,0.7575944384445487,0.794501053591825,105.2979794676509,98.71399313526105,105.2979794676509,98.71399313526105,103.47896010414094,86.31961747039009,107.11276275217224,91.65624122110341,0.8571877651993349,8,0.012763900557401842,1144.0,988.0,1126.4375000000002,1.0155911890362312,0.8771014814403816,0,0.7647058823529411,2.6175519743836633,30,147,65.30206528406718
28,Indiana,B10,21-14,107.68292910520233,74,91.60835723467704,16,0.8652023311266299,28,21,14,9,11,9-11,0.6953148743547487,0.428061907865161,0.7845961098962483,0.6953148743547487,0.428061907865161,0.7845961098962483,0.7015216724754739,0.8692278553269579,108.10235691495814,98.7142283608398,108.10235691495814,98.7142283608398,107.38936862650118,91.76634667070604,114.256401363297,100.5021392262103,0.8138251891802379,15,-0.04276349502152521,1344.0,1343.0,1333.7250000000001,1.0077039869538322,1.0069542072016344,0,0.45,0.22424745933268908,54,268,67.24434165280728
29,Oklahoma,B12,19-16,110.58436179499265,40,94.09397736559134,36,0.864955463229628,29,19,16,7,11,7-11,0.7307565425926529,0.5009888222794207,0.8784204565325585,0.7307565425926529,0.5009888222794207,0.8784204565325585,0.6318960414802569,0.8170926801140658,107.15342661905866,95.50647283248877,107.15342661905866,95.50647283248877,111.12627916543795,95.16789233122427,120.06516052756353,102.59792230285899,0.8591193232513574,18,-0.03125066393086762,1168.0,1213.0,1184.3500000000001,0.9861949592603537,1.024190484231857,0,0.3888888888888889,1.0884550472409689,48,243,65.16412267079596
30,Ohio St.,B10,20-12,115.45899178188692,15,98.5111811439646,109,0.8612333396206194,30,20,12,12,8,12-8,0.7278680225140599,0.5758182603962312,0.7813170774189349,0.7278680225140599,0.5758182603962312,0.7813170774189349,0.6909824412905488,0.7873932744885398,107.97400085173417,97.84170101844839,107.97400085173417,97.84170101844839,117.07644384091297,98.98553657346051,113.73187425837102,97.9436760556413,0.8479597477649692,12,0.0023982618938829248,1455.0,1390.0,1313.1875,1.107991052305935,1.0584931702441578,0,0.6,1.327271690839619,46,172,65.14791282391512
31,Alabama,SEC,19-14,115.16719013108718,16,98.26259139950392,100,0.8612280331033447,31,19,14,9,9,9-9,0.7715135997723496,0.7342965040483873,0.7923004818746275,0.7715135997723496,0.7342965040483873,0.7923004818746275,0.6503341255799692,0.6780116347496966,109.18259838202422,96.15119586412008,109.18259838202422,96.15119586412008,115.1233736352434,100.71635726069995,129.92655174991367,108.17855225323518,0.8915469826826813,19,-0.0032435386395924803,1401.0,1405.0,1320.8375,1.0606906602818287,1.0637190418957667,0,0.5,1.9610988234477347,34,182,71.82901967410398
32,Texas A&M,SEC,27-13,109.20088963165225,54,93.27231910878902,30,0.8597430034192176,32,27,13,9,9,9-9,0.6451522328906811,0.40749830119345654,0.7499398852079187,0.6451522328906811,0.40749830119345654,0.7499398852079187,0.7248122346474781,0.8701221247112556,105.90914357721377,98.31882970307194,105.90914357721377,98.31882970307194,109.57847292158806,96.75503287393364,119.84018221712626,102.34953917726347,0.8598807838268883,17,0.010649280045184839,1275.0,1275.0,1247.9249999999997,1.0216960153855401,1.0216960153855401,0,0.5,1.241577621552147,47,153,66.50001213275934
33,Oklahoma St.,B12,15-15,102.87427620759341,164,88.009525068492,4,0.8575049410136414,33,15,15,8,10,8-10,0.7445554719642673,0.5425008925039031,0.8792585249378436,0.7445554719642673,0.5425008925039031,0.8792585249378436,0.6331176577698997,0.8230048230241294,108.35151681747114,95.78570650436261,108.35151681747114,95.78570650436261,103.29385601726521,87.03161295861017,112.48833928514796,95.41327413721253,0.8691275070671777,17,-0.06386762994483075,1155.0,1158.0,1231.3000000000002,0.9380329732802728,0.9404694225615202,0,0.4444444444444444,-0.7844537198418245,66,305,67.95774415192415
34,Providence,BE,27-6,111.43483378700849,33,95.47793624244358,46,0.8553588207536063,34,27,6,14,3,14-3,0.6826766070873569,0.5446946519971134,0.7453195556097371,0.6826766070873569,0.5446946519971134,0.7453195556097371,0.7297606102316715,0.8099180057115762,106.37290697262276,98.28003775280217,106.37290697262276,98.28003775280217,112.68574793075493,96.34009522205126,118.60244826190099,100.33790917547572,0.8724932709015619,9,0.15889268271159807,1251.0,1179.0,1160.6499999999999,1.0778443113772456,1.0158101064058933,0,0.8235294117647058,5.8768515115435545,14,2,65.33358736804455
35,Wake Forest,ACC,25-10,110.73490600779442,38,94.95146325066386,41,0.8542576516995791,35,25,10,13,7,13-7,0.6236606063917597,0.3538430227905217,0.7476874881764581,0.6236606063917597,0.3538430227905217,0.7476874881764581,0.7600630585495398,0.9180077195501494,106.48732044343356,100.70257607344995,106.48732044343356,100.70257607344995,114.92597592756542,95.26814489094681,125.04601202218353,110.82536831787228,0.8003286529929182,10,0.018693735902877484,1572.0,1421.0,1406.65,1.1175487861230582,1.0102015426723066,0,0.65,1.4526380392103007,44,131,70.38946134779846
36,Notre Dame,ACC,24-11,112.77991377797501,23,96.70918130921876,73,0.8541955689087563,36,24,11,15,5,15-5,0.664846271345815,0.5143187626647177,0.7067174818067732,0.664846271345815,0.5143187626647177,0.7067174818067732,0.7169959004344976,0.7655089335800671,107.1411934563957,98.39638043504438,107.1411934563957,98.39638043504438,113.59642835141919,96.03869862013853,123.76749526152018,104.0045981478482,0.8808654166976562,14,0.041229210089268054,1453.0,1339.0,1329.0249999999996,1.09328266962623,1.0075055021538348,0,0.75,1.8546950711396346,37,85,65.4006215049858
37,Wisconsin,B10,25-8,108.67861639182536,61,93.3913641548985,31,0.8511128375261459,37,25,8,15,5,15-5,0.7282650887009564,0.5848688922269961,0.7953164816491369,0.7282650887009564,0.5848688922269961,0.7953164816491369,0.6859859752367718,0.7596276782627263,108.32593658599934,97.76628587622777,108.32593658599934,97.76628587622777,109.90734028104325,93.28616364922955,130.65672584874505,105.2919092327129,0.9228791222391146,15,0.15606379284419147,1404.0,1368.0,1349.0999999999997,1.0406937958639095,1.0140093395597067,0,0.75,6.4577910650285375,12,3,66.41747108323155
38,Miami FL,ACC,26-11,113.56055100644862,21,97.87664761665283,93,0.8467356388267164,38,26,11,14,6,14-6,0.7027185913733699,0.527166832926921,0.75490186752305,0.7027185913733699,0.527166832926921,0.75490186752305,0.7040344217683561,0.8246529011828315,107.42988990560914,97.90940085990891,107.42988990560914,97.90940085990891,116.86576901523537,99.61375739116954,124.74887954143058,103.56840745103113,0.8947126942252833,13,0.08568957319505366,1516.0,1418.0,1347.2,1.1252969121140142,1.0525534441805224,0,0.7,2.579473743798417,31,28,67.71355952470678
39,Loyola Chicago,MVC,25-8,106.90468843429399,86,92.31331692802924,21,0.8439104559982796,39,25,8,13,5,13-5,0.5626292821508521,0.5251425169680145,0.5442879585630942,0.5626292821508521,0.5251425169680145,0.5442879585630942,0.8087708756464614,0.7775429576595232,104.21240146126107,100.90914778749458,104.21240146126107,100.90914778749458,107.36631373384134,97.23875812827484,112.60595467798916,96.87297410228294,0.8494995404275082,5,0.02258280207806962,1307.0,1154.0,1193.5,1.0950984499371597,0.9669040636782572,0,0.7222222222222222,1.7593523792827233,39,118,64.60076947106849
40,Boise St.,MWC,27-8,107.58575266900763,78,92.93012110543293,24,0.8434420074698472,40,27,8,15,3,15-3,0.6238663300906471,0.5016429562954109,0.6758700650640803,0.6238663300906471,0.5016429562954109,0.6758700650640803,0.7822512644307372,0.8668514809867734,104.36221226591996,98.50401173060135,104.36221226591996,98.50401173060135,111.43816233378278,94.53276181931588,102.47150128034289,87.55438993435325,0.8592690322247103,8,0.07160705175180615,1242.0,1124.0,1159.0874999999999,1.0715325633310688,0.9697283423382619,0,0.8333333333333334,3.49989514075787,24,41,64.5214538096965
41,Michigan St.,B10,23-13,111.62629925066618,31,96.60604819904322,70,0.8404964135422603,41,23,13,11,9,11-9,0.7400767557174918,0.5986905879831246,0.788583317447181,0.7400767557174918,0.5986905879831246,0.788583317447181,0.666958048288853,0.7433581512789137,109.29083075275003,97.76340921540864,109.29083075275003,97.76340921540864,110.88985350100742,97.48424725719038,125.32530352580518,108.33779908917928,0.8422512386670012,17,0.07168574776170711,1406.0,1399.0,1339.3375,1.049772742120638,1.044546277543935,0,0.55,2.88623406470606,28,40,67.5928082488321
42,Washington St.,P12,22-15,107.62103949654428,77,93.14244815505367,29,0.8404514096504941,42,22,15,11,9,11-9,0.6361809355441664,0.46593283607219393,0.684217070819243,0.6361809355441664,0.46593283607219393,0.684217070819243,0.7759040776095668,0.8935877750639576,105.5969323865453,99.59252661128781,105.5969323865453,99.59252661128781,106.77161102198056,93.2409764989736,105.21265405637055,97.09671811803335,0.7156883955361484,8,-0.09699858155759977,1370.0,1292.0,1329.9125,1.0301429605331178,0.9714924854078747,0,0.55,-4.03071231467463,113,342,66.24494960987397
43,Iowa St.,B12,22-13,101.74835921463783,184,88.39054807389245,5,0.83458581812733,43,22,13,7,11,7-11,0.7078322768928605,0.4135271429616512,0.8818292651749311,0.7078322768928605,0.4135271429616512,0.8818292651749311,0.6337465455277345,0.8487239704623941,107.58893988904141,97.0301399489483,107.58893988904141,97.0301399489483,106.06156362210578,92.45531008807102,115.48823048250809,97.0764902309276,0.8805025792229357,23,0.09313255560162936,1142.0,1221.0,1204.3625,0.9482194937155549,1.0138143623701337,0,0.3888888888888889,2.826270591090941,29,21,66.31273787798021
44,Dayton,A10,24-11,108.77612102661467,58,94.52383673945283,39,0.8341123838645835,44,24,11,14,4,14-4,0.5574987897964394,0.49479891504368023,0.5736817773440424,0.5574987897964394,0.49479891504368023,0.5736817773440424,0.8060582645236799,0.8010216412899214,103.32658833713424,100.6308934930631,103.32658833713424,100.6308934930631,110.73584230782778,92.10801054918143,121.66650893208133,97.9736623185336,0.9234892845564643,7,-0.037899063678823564,1227.0,1041.0,1132.6000000000001,1.0833480487374183,0.9191241391488609,0,0.7777777777777778,-1.183239854680584,71,259,63.05126416399192
45,Syracuse,ACC,16-17,116.14238047617002,11,101.36132188946479,153,0.8271326733585576,45,16,17,9,11,9-11,0.6980441902106828,0.604601066987854,0.7378745574180325,0.6980441902106828,0.604601066987854,0.7378745574180325,0.7034487528578457,0.7778411708662318,107.7649688838507,98.12162274188705,107.7649688838507,98.12162274188705,114.56894479933507,101.57843675227556,123.20647914341296,111.79461141646414,0.7535767358733617,11,-0.11161480335927221,1493.0,1483.0,1368.7875,1.0907463722455093,1.0834406363295983,0,0.45,-3.7585650362820417,106,348,67.74652389914301
46,Davidson,A10,27-7,115.79869709959803,13,101.14104134854438,148,0.8258331781980888,46,27,7,15,3,15-3,0.5369568807974155,0.44298641227446417,0.5629861924912201,0.5369568807974155,0.44298641227446417,0.5629861924912201,0.8304430462210721,0.8633476128118082,102.19412420703756,99.98728986681728,102.19412420703756,99.98728986681728,116.68428901365121,104.29962142132463,129.90561659050832,112.25606534002164,0.8428110772218895,5,0.05211719908010626,1338.0,1204.0,1181.5249999999999,1.1324347770889318,1.019022026618142,0,0.8333333333333334,2.1365588868761316,33,69,64.62827782351113
47,Murray St.,OVC,31-3,110.03831352627793,45,96.21108014665327,61,0.8240841550360366,47,31,3,18,0,18-0,0.41841249996574753,0.4546285436049397,0.3458537901784766,0.41841249996574753,0.4546285436049397,0.3458537901784766,0.8719316728085724,0.8263986215897291,101.1862065624654,102.84409410381267,101.1862065624654,102.84409410381267,109.49601370535487,95.34524154939237,114.53791031739388,97.79918459397152,0.8601914105763383,3,0.10390753865881519,1375.0,1065.0,1194.5749999999998,1.1510369796789655,0.8915304606240715,0,1.0,3.510530451599216,23,13,66.04394411026945
